motivo,confirmado,rol,nodoInicio,nodoFin
Result side blue together wide model. Able sort couple simply. Start least machine action.,true,Asistente,3747,4962
Too arm act. Between yes age maintain join. Behavior improve general them address test knowledge.,false,Facilitador,1178,4961
Dream audience method matter TV voice respond.,false,Asistente,801,4902
Source involve far return through. Deal employee movie. Trip north reduce people.,true,Asistente,99,4864
Message know today choose four his dog. Seven voice money something seek family.,false,Asistente,2059,4923
Talk floor resource challenge see. Natural woman garden some measure friend development.,true,Patrocinador,1101,4936
Through floor eat indicate animal Republican. Exactly financial raise move long mind.,false,Presentador,2496,4866
Deep north lose address federal role. Place responsibility case prepare.,true,Presentador,4368,4963
Loss admit mission side black present.,true,Voluntario,3253,4947
Scene positive tell claim person run. Last add bar discussion. Describe of everyone community.,false,Panelista,2568,4856
Trade could think second together also type bring.,true,Expositor,2180,4856
Agent score less data.,false,Presentador,4155,4959
The commercial turn while girl. Mouth ball radio condition use trial.,true,Moderador,4024,4903
Value end how see house individual change. Always half action prepare eye.,false,Asistente,2896,4912
Join room provide.,true,Patrocinador,4148,4926
Describe small rest. Paper over lead poor national although now.,true,Voluntario,4456,4898
Word prove site yourself instead now. News where miss they.,true,Presentador,136,4855
How fall perform may family laugh. Factor what represent seek across what. Occur write itself walk.,false,Orador,220,4943
Big group deep economic half spring happen. Rich should on memory record yes staff oil.,true,Organizador,3483,4935
Pattern score yes report stand.\
Power mouth but. Live then staff choose age.,true,Panelista,3185,4889
Against partner measure.,true,Organizador,762,4890
Hope tax approach public management ok specific. Defense significant woman.,true,Panelista,3165,4857
Remember take central reveal expert generation somebody.,false,Moderador,2693,4904
Mind laugh art instead play. Hear know front maybe health.,true,Moderador,199,4928
Value where degree green physical reduce red rich. Citizen other set.,true,Patrocinador,431,4906
Perform long write understand picture. Down then understand. Statement country anyone.,false,Moderador,1263,4960
Summer open middle. Environment necessary point.,true,Panelista,4454,4893
Democratic if choice key. Front stuff crime hand contain experience. As write avoid visit bit.,true,Expositor,3399,4850
Agree inside most choose.\
While determine thought huge fill necessary bring.,false,Facilitador,1523,4877
Shoulder add this. Certainly late move firm anything probably.,true,Facilitador,2367,4860
Spend sign training read. Answer north onto picture coach not fine.,false,Patrocinador,1492,4915
Say present none bar. Painting couple thank performance rule third when.,true,Voluntario,452,4921
Space yourself guess generation time officer politics.,false,Facilitador,1479,4897
Every full film everybody increase player. Catch range event raise.,true,Voluntario,1142,4936
